TIME 	 VAUXP[1] 	 VAUXN[1] 
81327869 0.5 0
81329949 0.5 0
81332029 0.5 0
81334109 0.5 0
81336189 0.5 0
81338269 0.5 0
81340349 0.5 0
81342429 0.5 0
81344509 0.5 0
81346589 0.5 0
81348669 0.5 0
81350749 0.5 0
81352829 0.5 0
81354909 0.5 0
81356989 0.5 0
81359069 0.5 0
81361149 0.5 0
81363229 0.5 0
81365309 0.5 0
81367389 0.5 0
81369469 0.5 0
81371549 0.5 0
81373629 0.5 0
81375709 0.5 0
81377789 0.5 0
81379869 0.5 0
81381949 0.5 0
81384029 0.5 0
81386109 0.5 0
81388189 0.5 0
81390269 0.5 0
81392349 0.5 0
81394429 0.5 0
81396509 0.5 0
81398589 0.5 0
81400669 0.5 0
81402749 0.5 0
81404829 0.5 0
81406909 0.5 0
81408989 0.5 0
81411069 0.5 0
81413149 0.5 0
81415229 0.5 0
81417309 0.5 0
81419389 0.5 0
81421469 0.5 0
81423549 0.5 0
81425629 0.5 0
81427709 0.5 0
81429789 0.5 0
81431869 0.5 0
81433949 0.5 0
81436029 0.5 0
81438109 0.5 0
81440189 0.5 0
81442269 0.5 0
81444349 0.5 0
81446429 0.5 0
81448509 0.5 0
81450589 0.5 0
81452669 0.5 0
81454749 0.5 0
81456829 0.5 0
81458909 0.5 0
81460989 0.5 0
81463069 0.5 0
81465149 0.5 0
81467229 0.5 0
81469309 0.5 0
81471389 0.5 0
81473469 0.5 0
81475549 0.5 0
81477629 0.5 0
81479709 0.5 0
81481789 0.5 0
81483869 0.5 0
81485949 0.5 0
81488029 0.5 0
81490109 0.5 0
81492189 0.5 0
81494269 0.5 0
81496349 0.5 0
81498429 0.5 0
81500509 0.5 0
81502589 0.5 0
81504669 0.5 0
81506749 0.5 0
81508829 0.5 0
81510909 0.5 0
81512989 0.5 0
81515069 0.5 0
81517149 0.5 0
81519229 0.5 0
81521309 0.5 0
81523389 0.5 0
81525469 0.5 0
81527549 0.5 0
81529629 0.5 0
81531709 0.5 0
81533789 0.5 0
81535869 0.5 0
81537949 0.5 0
81540029 0.5 0
81542109 0.5 0
81544189 0.5 0
81546269 0.5 0
81548349 0.5 0
81550429 0.5 0
81552509 0.5 0
81554589 0.5 0
81556669 0.5 0
81558749 0.5 0
81560829 0.5 0
81562909 0.5 0
81564989 0.5 0
81567069 0.5 0
81569149 0.5 0
81571229 0.5 0
81573309 0.5 0
81575389 0.5 0
81577469 0.5 0
81579549 0.5 0
81581629 0.5 0
81583709 0.5 0
81585789 0.5 0
81587869 0.5 0
81589949 0.5 0
81592029 0.5 0
81594109 0.5 0
81596189 0.5 0
81598269 0.5 0
81600349 0.5 0
81602429 0.5 0
81604509 0.5 0
81606589 0.5 0
81608669 0.5 0
81610749 0.5 0
81612829 0.5 0
81614909 0.5 0
81616989 0.5 0
81619069 0.5 0
81621149 0.5 0
81623229 0.5 0
81625309 0.5 0
81627389 0.5 0
81629469 0.5 0
81631549 0.5 0
81633629 0.5 0
81635709 0.5 0
81637789 0.5 0
81639869 0.5 0
81641949 0.5 0
81644029 0.5 0
81646109 0.5 0
81648189 0.5 0
81650269 0.5 0
81652349 0.5 0
81654429 0.5 0
81656509 0.5 0
81658589 0.5 0
81660669 0.5 0
81662749 0.5 0
81664829 0.5 0
81666909 0.5 0
81668989 0.5 0
81671069 0.5 0
81673149 0.5 0
81675229 0.5 0
81677309 0.5 0
81679389 0.5 0
81681469 0.5 0
81683549 0.5 0
81685629 0.5 0
81687709 0.5 0
81689789 0.5 0
81691869 0.5 0
81693949 0.5 0
81696029 0.5 0
81698109 0.5 0
81700189 0.5 0
81702269 0.5 0
81704349 0.5 0
81706429 0.5 0
81708509 0.5 0
81710589 0.5 0
81712669 0.5 0
81714749 0.5 0
81716829 0.5 0
81718909 0.5 0
81720989 0.5 0
81723069 0.5 0
81725149 0.5 0
81727229 0.5 0
81729309 0.5 0
81731389 0.5 0
81733469 0.5 0
81735549 0.5 0
81737629 0.5 0
81739709 0.5 0
81741789 0.5 0
81743869 0.5 0
81745949 0.5 0
81748029 0.5 0
81750109 0.5 0
81752189 0.5 0
81754269 0.5 0
81756349 0.5 0
81758429 0.5 0
81760509 0.5 0
81762589 0.5 0
81764669 0.5 0
81766749 0.5 0
81768829 0.5 0
81770909 0.5 0
81772989 0.5 0
81775069 0.5 0
81777149 0.5 0
81779229 0.5 0
81781309 0.5 0
81783389 0.5 0
81785469 0.5 0
81787549 0.5 0
81789629 0.5 0
81791709 0.5 0
81793789 0.5 0
81795869 0.5 0
81797949 0.5 0
81800029 0.5 0
81802109 0.5 0
81804189 0.5 0
81806269 0.5 0
81808349 0.5 0
81810429 0.5 0
81812509 0.5 0
81814589 0.5 0
81816669 0.5 0
81818749 0.5 0
81820829 0.5 0
81822909 0.5 0
81824989 0.5 0
81827069 0.5 0
81829149 0.5 0
81831229 0.5 0
81833309 0.5 0
81835389 0.5 0
81837469 0.5 0
81839549 0.5 0
81841629 0.5 0
81843709 0.5 0
81845789 0.5 0
81847869 0.5 0
81849949 0.5 0
81852029 0.5 0
81854109 0.5 0
81856189 0.5 0
81858269 0.5 0
81860349 0.5 0
81862429 0.5 0
81864509 0.5 0
81866589 0.5 0
81868669 0.5 0
81870749 0.5 0
81872829 0.5 0
81874909 0.5 0
81876988 0.5 0
81879068 0.5 0
81881148 0.5 0
81883228 0.5 0
81885308 0.5 0
81887388 0.5 0
81889468 0.5 0
81891548 0.5 0
81893628 0.5 0
81895708 0.5 0
81897788 0.5 0
81899868 0.5 0
81901948 0.5 0
81904028 0.5 0
81906108 0.5 0
81908188 0.5 0
81910268 0.5 0
81912348 0.5 0
81914428 0.5 0
81916508 0.5 0
81918588 0.5 0
81920668 0.5 0
81922748 0.5 0
81924828 0.5 0
81926908 0.5 0
81928988 0.5 0
81931068 0.5 0
81933148 0.5 0
81935228 0.5 0
81937308 0.5 0
81939388 0.5 0
81941468 0.5 0
81943548 0.5 0
81945628 0.5 0
81947708 0.5 0
81949788 0.5 0
81951868 0.5 0
81953948 0.5 0
81956028 0.5 0
81958108 0.5 0
81960188 0.5 0
81962268 0.5 0
81964348 0.5 0
81966428 0.5 0
81968508 0.5 0
81970588 0.5 0
81972668 0.5 0
81974748 0.5 0
81976828 0.5 0
81978908 0.5 0
81980988 0.5 0
81983068 0.5 0
81985148 0.5 0
81987228 0.5 0
81989308 0.5 0
81991388 0.5 0
81993468 0.5 0
81995548 0.5 0
81997628 0.5 0
81999708 0.5 0
82001788 0.5 0
82003868 0.5 0
82005948 0.5 0
82008028 0.5 0
82010108 0.5 0
82012188 0.5 0
82014268 0.5 0
82016348 0.5 0
82018428 0.5 0
82020508 0.5 0
82022588 0.5 0
82024668 0.5 0
82026748 0.5 0
82028828 0.5 0
82030908 0.5 0
82032988 0.5 0
82035068 0.5 0
82037148 0.5 0
82039228 0.5 0
82041308 0.5 0
82043388 0.5 0
82045468 0.5 0
82047548 0.5 0
82049628 0.5 0
82051708 0.5 0
82053788 0.5 0
82055868 0.5 0
82057948 0.5 0
82060028 0.5 0
82062108 0.5 0
82064188 0.5 0
82066268 0.5 0
82068348 0.5 0
82070428 0.5 0
82072508 0.5 0
82074588 0.5 0
82076668 0.5 0
82078748 0.5 0
82080828 0.5 0
82082908 0.5 0
82084988 0.5 0
82087068 0.5 0
82089148 0.5 0
82091228 0.5 0
82093308 0.5 0
82095388 0.5 0
82097468 0.5 0
82099548 0.5 0
82101628 0.5 0
82103708 0.5 0
82105788 0.5 0
82107868 0.5 0
82109948 0.5 0
82112028 0.5 0
82114108 0.5 0
82116188 0.5 0
82118268 0.5 0
82120348 0.5 0
82122428 0.5 0
82124508 0.5 0
82126588 0.5 0
82128668 0.5 0
82130748 0.5 0
82132828 0.5 0
82134908 0.5 0
82136988 0.5 0
82139068 0.5 0
82141148 0.5 0
82143228 0.5 0
82145308 0.5 0
82147388 0.5 0
82149468 0.5 0
82151548 0.5 0
82153628 0.5 0
82155708 0.5 0
82157788 0.5 0
82159868 0.5 0
82161948 0.5 0
82164028 0.5 0
82166108 0.5 0
82168188 0.5 0
82170268 0.5 0
82172348 0.5 0
82174428 0.5 0
82176508 0.5 0
82178588 0.5 0
82180668 0.5 0
82182748 0.5 0
82184828 0.5 0
82186908 0.5 0
82188988 0.5 0
82191068 0.5 0
82193148 0.5 0
82195228 0.5 0
82197308 0.5 0
82199388 0.5 0
82201468 0.5 0
82203548 0.5 0
82205628 0.5 0
82207708 0.5 0
82209788 0.5 0
82211868 0.5 0
82213948 0.5 0
82216028 0.5 0
82218108 0.5 0
82220188 0.5 0
82222268 0.5 0
82224348 0.5 0
82226428 0.5 0
82228508 0.5 0
82230588 0.5 0
82232668 0.5 0
82234748 0.5 0
82236828 0.5 0
82238908 0.5 0
82240988 0.5 0
82243068 0.5 0
82245148 0.5 0
82247228 0.5 0
82249308 0.5 0
82251388 0.5 0
82253468 0.5 0
82255548 0.5 0
82257628 0.5 0
82259708 0.5 0
82261788 0.5 0
82263868 0.5 0
82265948 0.5 0
